Username,UID,Account Type,Last Login
nobody,-2,System/Service,
root,0,Real User,Sun 25 May 09:36 -
daemon,1,System/Service,
_uucp,4,System/Service,
_taskgated,13,System/Service,
_networkd,24,System/Service,
_installassistant,25,System/Service,
_lp,26,System/Service,
_postfix,27,System/Service,
_scsd,31,System/Service,
_ces,32,System/Service,
_appstore,33,System/Service,
_mcxalr,54,System/Service,
_appleevents,55,System/Service,
_geod,56,System/Service,
_devdocs,59,System/Service,
_sandbox,60,System/Service,
_mdnsresponder,65,System/Service,
_ard,67,System/Service,
_www,70,System/Service,
_eppc,71,System/Service,
_cvs,72,System/Service,
_svn,73,System/Service,
_mysql,74,System/Service,
_sshd,75,System/Service,
_qtss,76,System/Service,
_cyrus,77,System/Service,
_mailman,78,System/Service,
_appserver,79,System/Service,
_clamav,82,System/Service,
_amavisd,83,System/Service,
_jabber,84,System/Service,
_appowner,87,System/Service,
_windowserver,88,System/Service,
_spotlight,89,System/Service,
_tokend,91,System/Service,
_securityagent,92,System/Service,
_calendar,93,System/Service,
_teamsserver,94,System/Service,
_update_sharing,95,System/Service,
_installer,96,System/Service,
_atsserver,97,System/Service,
_ftp,98,System/Service,
_unknown,99,System/Service,
_softwareupdate,200,System/Service,
_coreaudiod,202,System/Service,
_screensaver,203,System/Service,
_locationd,205,System/Service,
_trustevaluationagent,208,System/Service,
_timezone,210,System/Service,
_lda,211,System/Service,
_cvmsroot,212,System/Service,
_usbmuxd,213,System/Service,
_dovecot,214,System/Service,
_dpaudio,215,System/Service,
_postgres,216,System/Service,
_krbtgt,217,System/Service,
_kadmin_admin,218,System/Service,
_kadmin_changepw,219,System/Service,
_devicemgr,220,System/Service,
_webauthserver,221,System/Service,
_netbios,222,System/Service,
_warmd,224,System/Service,
_dovenull,227,System/Service,
_netstatistics,228,System/Service,
_avbdeviced,229,System/Service,
_krb_krbtgt,230,System/Service,
_krb_kadmin,231,System/Service,
_krb_changepw,232,System/Service,
_krb_kerberos,233,System/Service,
_krb_anonymous,234,System/Service,
_assetcache,235,System/Service,
_coremediaiod,236,System/Service,
_launchservicesd,239,System/Service,
_iconservices,240,System/Service,
_distnote,241,System/Service,
_nsurlsessiond,242,System/Service,
_displaypolicyd,244,System/Service,
_astris,245,System/Service,
_krbfast,246,System/Service,
_gamecontrollerd,247,System/Service,
_mbsetupuser,248,System/Service,
_ondemand,249,System/Service,
_xserverdocs,251,System/Service,
_wwwproxy,252,System/Service,
_mobileasset,253,System/Service,
_findmydevice,254,System/Service,
_datadetectors,257,System/Service,
_captiveagent,258,System/Service,
_ctkd,259,System/Service,
_applepay,260,System/Service,
_hidd,261,System/Service,
_cmiodalassistants,262,System/Service,
_analyticsd,263,System/Service,
_fpsd,265,System/Service,
_timed,266,System/Service,
_nearbyd,268,System/Service,
_reportmemoryexception,269,System/Service,
_driverkit,270,System/Service,
_diskimagesiod,271,System/Service,
_logd,272,System/Service,
_appinstalld,273,System/Service,
_installcoordinationd,274,System/Service,
_demod,275,System/Service,
_rmd,277,System/Service,
_accessoryupdater,278,System/Service,
_knowledgegraphd,279,System/Service,
_coreml,280,System/Service,
_sntpd,281,System/Service,
_trustd,282,System/Service,
_mmaintenanced,283,System/Service,
_darwindaemon,284,System/Service,
_notification_proxy,285,System/Service,
_avphidbridge,288,System/Service,
_biome,289,System/Service,
_backgroundassets,291,System/Service,
_mobilegestalthelper,293,System/Service,
_audiomxd,294,System/Service,
_terminusd,295,System/Service,
_neuralengine,296,System/Service,
_eligibilityd,297,System/Service,
_systemstatusd,298,System/Service,
_aonsensed,300,System/Service,
_modelmanagerd,301,System/Service,
_reportsystemmemory,302,System/Service,
_swtransparencyd,303,System/Service,
_naturallanguaged,304,System/Service,
_corespeechd,306,System/Service,
_diagnosticservicesd,307,System/Service,
_oahd,441,System/Service,
